1,×,Raspberry Pi Zero W
1,×,Camera Module V1.3 (Sensor mounted directly on flex cable)
1,×,12mm Rod (roughly 140mm long)
1,×,5mm Rod (roughly 42mm long)
1,×,20x Macro Lens
1,×,Button
4,×,M3x10mm Screw
2,×,M3x12mm Screw
1,×,M3 Grub Screw
1,×,M4x30mm Screw
1,×,M4 Grub Screw
